initT_pop,1.3755,-0.007417,3.1874e-6,0.0017061,-0.0090598,0.00042016,0,0,0,0,0,0,0,0,0,0,0
aS_pop,-0.007417,0.010309,2.3299e-6,-0.0025337,0.0068602,-0.0010686,0,0,0,0,0,0,0,0,0,0,0
dS_pop,3.1874e-6,2.3299e-6,1.796e-8,1.2302e-5,-9.8163e-7,1.2546e-7,0,0,0,0,0,0,0,0,0,0,0
lBt0_pop,0.0017061,-0.0025337,1.2302e-5,0.010651,-0.0020587,0.00033276,0,0,0,0,0,0,0,0,0,0,0
dI_pop,-0.0090598,0.0068602,-9.8163e-7,-0.0020587,0.012138,-0.0017531,0,0,0,0,0,0,0,0,0,0,0
n_pop,0.00042016,-0.0010686,1.2546e-7,0.00033276,-0.0017531,0.00027461,0,0,0,0,0,0,0,0,0,0,0
omega_initT,0,0,0,0,0,0,0.0087437,-0.0001178,9.699e-5,-0.00022123,-7.9371e-5,-1.3812e-6,-2.5599e-5,-7.9556e-5,-1.6239e-5,-2.4842e-5,-7.272e-6
omega_aS,0,0,0,0,0,0,-0.0001178,0.0057331,-0.0038838,0.0048998,-0.00053263,0.00022443,-0.00022159,0.0072262,-0.00011377,0.0044692,-4.0529e-5
corr_dI_aS,0,0,0,0,0,0,9.699e-5,-0.0038838,0.011895,-0.011654,0.00073048,-0.00054701,0.00016558,0.0012762,-0.00010298,0.00070896,5.818e-5
corr_n_aS,0,0,0,0,0,0,-0.00022123,0.0048998,-0.011654,0.012639,-0.00062068,0.00055505,-0.00013813,0.00038785,0.00013755,0.00011546,-8.9003e-5
omega_dS,0,0,0,0,0,0,-7.9371e-5,-0.00053263,0.00073048,-0.00062068,0.036323,6.2969e-5,0.01435,-0.00080043,-2.547e-5,-0.00072206,-4.99e-5
corr_lBt0_dS,0,0,0,0,0,0,-1.3812e-6,0.00022443,-0.00054701,0.00055505,6.2969e-5,3.0898e-5,3.6447e-5,3.1553e-5,4.4686e-6,2.0952e-5,-7.8501e-7
omega_lBt0,0,0,0,0,0,0,-2.5599e-5,-0.00022159,0.00016558,-0.00013813,0.01435,3.6447e-5,0.0058915,-0.00034562,-1.1384e-5,-0.00029547,-1.6808e-5
omega_dI,0,0,0,0,0,0,-7.9556e-5,0.0072262,0.0012762,0.00038785,-0.00080043,3.1553e-5,-0.00034562,0.020315,-0.00040766,0.012492,-4.5089e-5
corr_n_dI,0,0,0,0,0,0,-1.6239e-5,-0.00011377,-0.00010298,0.00013755,-2.547e-5,4.4686e-6,-1.1384e-5,-0.00040766,9.6441e-5,-0.00032428,-1.1464e-5
omega_n,0,0,0,0,0,0,-2.4842e-5,0.0044692,0.00070896,0.00011546,-0.00072206,2.0952e-5,-0.00029547,0.012492,-0.00032428,0.009055,-2.2927e-5
a,0,0,0,0,0,0,-7.272e-6,-4.0529e-5,5.818e-5,-8.9003e-5,-4.99e-5,-7.8501e-7,-1.6808e-5,-4.5089e-5,-1.1464e-5,-2.2927e-5,0.00012778
